feature,mutual_info_score,correlation_score,isolation_forest_importance,combined_importance
merchant_diversity,0.07134809448001089,0.0136070073427598,0.005740562393903479,0.034343508713003346
merchant_risk_score,0.06671342565788896,0.00832766472353381,0.0045020858158094715,0.030534295424958568
merchant_avg_amount,0.06810343234407645,0.0021936443644819783,0.004324629283468397,0.029196855032015696
amount_sqrt,0.05665553620645858,0.008934813153063693,0.004511731812741561,0.026696177972325007
amount_square,0.05670799748269317,0.0037293314984081843,0.003457732533525062,0.024839318202657244
cust_amt_mean,0.039465469879366166,0.005132178081240839,0.0037285246796815255,0.018444398780023175
cust_amt_iqr,0.031392003090558784,0.01590026685584827,0.0033945732147572295,0.018345253257405165
cust_amt_range,0.03747937424435799,0.001676308537405367,0.0052412089319422255,0.017067004938547473
cust_amt_cv,0.03532944977777841,0.00266525224791855,0.004644698638239,0.01632476517695863
cust_amt_skewness,0.031290903247509494,0.007276603105344325,0.004818308806684123,0.016144834872612333
cust_amt_sum,0.03199441108305512,0.0018501526449329281,0.004220508765061286,0.014618962856220311
cust_amt_median,0.03141878704118806,0.001680443054699519,0.00326861723109127,0.014052232902212459
amt_vs_cust_mean_ratio,0.02258711419358106,0.009674688629677655,0.004424611906586206,0.013264635838311582
amount_vs_merchant_avg,0.016358187422730097,0.006827975159236485,0.005536837866607034,0.010252718876845094
cust_txn_count,0.013260304319064109,0.00962347191341105,0.0047653118426466985,0.009620756854442969
amt_vs_cust_q95_ratio,0.015832290197203003,0.003803017986495727,0.003941274991743041,0.008656203972352831
is_very_high_amount,0.019205314554002983,0.0015417908792566206,0.00036240864914783216,0.00825338568012253
is_cust_extreme_spender,0.014827502376722035,0.00208088528969665,0.00209980628819306,0.007185208424055727
is_extreme_amount,0.0075359650105844,0.004793560352472337,0.00014483312429627645,0.004495904047264344
is_high_risk_merchant,0.004987922620687035,0.004329436710843531,0.00013483460979834497,0.0033344504444673766
